Genotype ,Days to flower ,Leaf no,weight
WT36,40,19,0.0247
WT36,41,22,0.0296
WT36,42,21,0.0251
WT36,40,21,0.0189
WT36,41,25,0.0392
WT36,38,23,0.0292
WT36,37,20,0.0265
WT36,39,22,0.032
WT36,37,18,0.0244
WT36,40,26,0.0613
WT36,36,22,0.0314
WT36,37,23,0.0353
WT36,38,26,0.0429
WT36,36,26,0.0385
WT36,37,20,0.0275
WT36,36,20,0.0288
WT36,36,21,0.0202
WT36,NA,NA,NA
WT36,34,21,0.0265
WT36,36,19,0.0247
WT38,33,17,0.0161
WT38,33,15,0.0096
WT38,33,14,0.0105
WT38,34,15,0.0102
WT38,33,17,0.0204
WT38,33,16,0.0128
WT38,35,16,0.0146
WT38,33,15,0.0133
WT38,31,14,0.0091
WT38,33,16,0.0136
WT38,31,14,0.0112
WT38,35,17,0.0143
WT38,35,17,0.0261
WT38,33,16,0.0165
WT38,33,15,0.012
WT38,33,17,0.02
WT38,33,15,0.0121
WT38,33,17,0.0176
WT38,36,16,0.0174
WT38,33,16,0.0175
WT30,31,15,0.0205
WT30,28,13,0.0093
WT30,30,15,0.0173
WT30,30,14,0.0155
WT30,31,15,0.0169
WT30,30,16,0.0197
WT30,28,14,0.0131
WT30,31,16,0.0206
WT30,29,15,0.0189
WT30,30,16,0.0212
WT30,31,16,0.0211
WT30,29,15,0.0182
WT30,31,17,0.0223
WT30,31,15,0.0167
WT30,31,16,0.0222
WT30,32,19,0.0238
WT30,29,15,0.0154
WT30,30,15,0.0206
WT30,29,15,0.0192
WT30,30,17,0.0152
WT31,36,26,0.0611
WT31,33,23,0.0407
WT31,35,21,0.043
WT31,36,32,0.0576
WT31,36,32,0.06
WT31,32,24,0.0336
WT31,38,24,0.071
WT31,35,28,0.0434
WT31,32,27,0.0409
WT31,32,26,0.045
WT31,38,34,0.0668
WT31,34,32,0.062
WT31,32,28,0.044
WT31,33,28,0.0414
WT31,32,26,0.0425
WT31,37,34,0.0641
WT31,33,30,0.0654
WT31,36,32,0.069
WT31,33,24,0.0444
WT31,39,37,0.0571
WS-2,26,17,0.0145
WS-2,26,15,0.0129
WS-2,25,17,0.0138
WS-2,26,15,0.0162
WS-2,25,15,0.0091
WS-2,25,16,0.0135
WS-2,25,15,0.0091
WS-2,24,14,0.0094
WS-2,26,16,0.0166
WS-2,25,15,0.0137
WS-2,25,16,0.0157
WS-2,25,17,0.0094
WS-2,26,15,0.0099
WS-2,25,16,0.011
WS-2,24,17,0.0105
WS-2,25,19,0.0172
WS-2,25,15,0.0123
WS-2,24,20,0.0119
WS-2,24,17,0.0115
WS-2,24,16,0.0104
TNZ-1,38,19,0.0306
TNZ-1,39,19,0.0254
TNZ-1,40,19,0.023
TNZ-1,37,18,0.0225
TNZ-1,39,19,0.0267
TNZ-1,38,19,0.0309
TNZ-1,40,19,0.0229
TNZ-1,39,18,0.0258
TNZ-1,40,19,0.0253
TNZ-1,39,19,0.0264
TNZ-1,NA,NA,NA
TNZ-1,40,20,0.033
TNZ-1,38,19,0.0233
TNZ-1,39,19,0.0241
TNZ-1,42,19,0.0242
TNZ-1,42,19,0.0279
TNZ-1,37,18,0.0261
TNZ-1,41,18,0.0201
TNZ-1,38,20,0.0275
TNZ-1,37,18,0.0227
WT34,28,14,0.0135
WT34,24,10,0.0032
WT34,27,14,0.0108
WT34,27,12,0.0041
WT34,27,12,0.0065
WT34,27,14,0.0074
WT34,29,14,0.0102
WT34,28,12,0.0073
WT34,29,13,0.0135
WT34,28,12,0.0059
WT34,28,11,0.0072
WT34,28,12,0.008
WT34,27,14,0.0089
WT34,27,13,0.0065
WT34,26,10,0.0021
WT34,26,10,0.0045
WT34,25,10,0.0026
WT34,26,10,0.0039
WT34,27,13,0.0066
WT34,27,11,0.0067
WT35,32,19,0.0222
WT35,33,22,0.0289
WT35,40,25,0.0411
WT35,39,24,0.0358
WT35,33,22,0.0223
WT35,39,25,0.036
WT35,34,21,0.0281
WT35,32,19,0.0202
WT35,35,22,0.0404
WT35,35,21,0.0188
WT35,36,18,0.0225
WT35,38,25,0.0335
WT35,39,27,0.0466
WT35,35,22,0.021
WT35,37,25,0.0542
WT35,41,29,0.0537
WT35,38,24,0.0315
WT35,39,26,0.0533
WT35,37,24,0.0391
WT35,42,25,0.0552
WT44,34,24,0.0436
WT44,35,28,0.0684
WT44,35,28,0.0506
WT44,35,25,0.0422
WT44,36,24,0.0558
WT44,34,25,0.0511
WT44,33,24,0.0475
WT44,34,25,0.0535
WT44,35,24,0.0554
WT44,35,22,0.0655
WT44,35,24,0.0444
WT44,33,28,0.063
WT44,35,28,0.06
WT44,33,25,0.0532
WT44,34,25,0.0515
WT44,34,27,0.0562
WT44,33,26,0.0604
WT44,35,27,0.0724
WT44,34,22,0.0368
WT44,31,24,0.0468
WT45,31,17,0.0221
WT45,28,15,0.0145
WT45,29,14,0.0151
WT45,28,14,0.015
WT45,32,22,0.0332
WT45,30,17,0.0274
WT45,29,15,0.0229
WT45,28,15,0.0149
WT45,29,17,0.0246
WT45,29,18,0.0233
WT45,29,15,0.0168
WT45,27,15,0.0142
WT45,27,16,0.02
WT45,27,15,0.0181
WT45,27,13,0.0136
WT45,27,14,0.0137
WT45,28,15,0.0191
WT45,28,20,0.022
WT45,30,19,0.0264
WT45,26,14,0.0157
WT52,33,26,0.0478
WT52,33,28,0.0524
WT52,31,21,0.0323
WT52,30,32,0.0477
WT52,31,25,0.0404
WT52,33,34,0.0512
WT52,32,29,0.0415
WT52,32,30,0.0501
WT52,32,26,0.042
WT52,32,29,0.042
WT52,32,33,0.0559
WT52,31,24,0.0391
WT52,31,27,0.0439
WT52,33,27,0.0406
WT52,33,25,0.042
WT52,32,26,0.037
WT52,31,23,0.0323
WT52,32,30,0.0579
WT52,31,33,0.043
WT52,33,32,0.0564
WT54,22,13,0.0077
WT54,23,13,0.0078
WT54,23,15,0.0078
WT54,23,16,0.0042
WT54,22,13,0.0075
WT54,22,14,0.0065
WT54,23,16,0.0097
WT54,22,16,0.0099
WT54,23,15,0.0077
WT54,18,16,0.0036
WT54,20,13,0.006
WT54,23,16,0.0083
WT54,23,18,0.011
WT54,23,15,0.0076
WT54,22,17,0.009
WT54,21,13,0.0067
WT54,21,15,0.0006
WT54,23,18,0.0116
WT54,21,15,0.0086
WT54,24,19,0.0107
WT26,28,26,0.0248
WT26,33,33,0.0357
WT26,31,25,0.0282
WT26,32,28,0.0272
WT26,29,20,0.0236
WT26,28,22,0.0191
WT26,29,19,0.0237
WT26,31,26,0.0283
WT26,29,26,0.0358
WT26,30,25,0.0299
WT26,30,24,0.0235
WT26,31,21,0.0278
WT26,29,19,0.0241
WT26,30,29,0.0348
WT26,31,25,0.0256
WT26,32,27,0.0312
WT26,32,28,0.0318
WT26,30,28,0.0277
WT26,29,20,0.0242
WT26,32,31,0.0378
WT27,26,16,0.0225
WT27,27,18,0.0179
WT27,27,19,0.0189
WT27,27,17,0.0178
WT27,27,20,0.0227
WT27,28,22,0.0145
WT27,25,14,0.0122
WT27,27,18,0.0167
WT27,27,17,0.0149
WT27,26,17,0.0175
WT27,25,15,0.0127
WT27,27,20,0.0241
WT27,27,17,0.0204
WT27,26,15,0.0189
WT27,25,14,0.0101
WT27,25,14,0.0167
WT27,28,25,0.0197
WT27,26,14,0.0147
WT27,26,15,0.0189
WT27,25,14,0.0114
WT13,25,15,0.0129
WT13,25,13,0.0097
WT13,25,14,0.0148
WT13,25,13,0.0134
WT13,28,23,0.0225
WT13,25,15,0.0145
WT13,23,12,0.0109
WT13,23,12,0.0103
WT13,25,14,0.0135
WT13,29,22,0.0347
WT13,25,13,0.0117
WT13,25,12,0.009
WT13,24,14,0.0112
WT13,29,23,0.0331
WT13,24,13,0.0083
WT13,24,13,0.0106
WT13,28,20,0.0222
WT13,23,16,0.0084
WT13,26,15,0.0128
WT13,26,14,0.0161
WT14,24,13,0.0087
WT14,24,12,0.0084
WT14,24,11,0.0073
WT14,24,11,0.0065
WT14,25,12,0.0097
WT14,23,11,0.0068
WT14,25,11,0.0069
WT14,23,11,0.0065
WT14,25,12,0.0077
WT14,25,11,0.0074
WT14,24,12,0.0066
WT14,24,12,0.0079
WT14,24,13,0.0085
WT14,23,11,0.0052
WT14,24,12,0.0089
WT14,25,12,0.0089
WT14,23,11,0.0064
WT14,23,11,0.0058
WT14,24,12,0.0086
WT14,24,11,0.0076
WT46,27,13,0.0069
WT46,28,15,0.0136
WT46,26,12,0.0067
WT46,27,14,0.0075
WT46,27,15,0.0101
WT46,28,18,0.0138
WT46,27,14,0.0079
WT46,26,15,0.0102
WT46,26,13,0.0064
WT46,25,14,0.0068
WT46,24,14,0.0108
WT46,25,14,0.0076
WT46,26,15,0.0115
WT46,26,15,0.0124
WT46,26,15,0.0104
WT46,25,15,0.0114
WT46,25,13,0.0066
WT46,25,15,0.0097
WT46,24,15,0.0071
WT46,24,14,0.0134
WT47,29,14,0.0142
WT47,31,16,0.0152
WT47,32,17,0.0192
WT47,34,26,0.0321
WT47,30,17,0.0063
WT47,34,28,0.031
WT47,31,15,0.0142
WT47,34,23,0.0305
WT47,34,23,0.0268
WT47,31,15,0.0172
WT47,29,15,0.0172
WT47,34,25,0.0362
WT47,33,24,0.0305
WT47,29,15,0.0148
WT47,35,22,0.0293
WT47,31,16,0.0137
WT47,33,25,0.039
WT47,35,19,0.0229
WT47,28,15,0.0104
WT47,30,13,0.0154
WT73,27,12,0.0082
WT73,27,12,0.0076
WT73,26,12,0.011
WT73,25,11,0.0071
WT73,26,12,0.0106
WT73,27,13,0.009
WT73,27,12,0.0102
WT73,25,13,0.0093
WT73,25,11,0.0074
WT73,24,11,0.0066
WT73,27,12,0.0103
WT73,24,12,0.0078
WT73,24,11,0.0064
WT73,24,12,0.0079
WT73,28,13,0.0128
WT73,26,12,0.0085
WT73,24,11,0.0065
WT73,24,10,0.0042
WT73,24,11,0.0066
WT73,24,12,0.0083
WT74,30,23,0.0145
WT74,28,19,0.013
WT74,32,25,0.0252
WT74,29,16,0.0145
WT74,31,24,0.0218
WT74,30,22,0.0202
WT74,30,19,0.0148
WT74,30,22,0.0263
WT74,30,27,0.0273
WT74,30,21,0.0142
WT74,30,20,0.0165
WT74,28,16,0.0127
WT74,32,26,0.0252
WT74,28,19,0.0164
WT74,30,17,0.0118
WT74,28,23,0.0183
WT74,28,22,0.0195
WT74,31,26,0.0203
WT74,30,25,0.025
WT74,27,15,0.009
WT19,26,15,0.01
WT19,26,15,0.0121
WT19,26,15,0.012
WT19,26,17,0.0128
WT19,24,21,0.0106
WT19,23,14,0.0078
WT19,26,19,0.0144
WT19,26,19,0.0122
WT19,25,18,0.0122
WT19,26,18,0.011
WT19,25,19,0.0126
WT19,26,22,0.0116
WT19,25,19,0.0113
WT19,25,17,0.0112
WT19,27,25,0.0148
WT19,25,16,0.0117
WT19,25,19,0.0095
WT19,24,21,0.0116
WT19,26,20,0.0108
WT19,25,22,0.0142
WT22,27,18,0.0168
WT22,28,23,0.0193
WT22,26,15,0.0146
WT22,27,19,0.0177
WT22,27,19,0.0179
WT22,27,22,0.0225
WT22,28,26,0.0284
WT22,27,19,0.0222
WT22,26,16,0.016
WT22,25,18,0.0222
WT22,26,18,0.0219
WT22,26,15,0.0146
WT22,27,21,0.0198
WT22,26,15,0.0159
WT22,27,18,0.012
WT22,26,18,0.0208
WT22,26,19,0.022
WT22,28,23,0.0227
WT22,27,22,0.0199
WT22,28,21,0.0275
WT1,27,18,0.0139
WT1,27,21,0.0202
WT1,27,20,0.017
WT1,27,19,0.0126
WT1,29,22,0.02028
WT1,26,18,0.0155
WT1,27,19,0.0153
WT1,27,19,0.0183
WT1,27,20,0.0142
WT1,28,22,0.0185
WT1,26,24,0.0195
WT1,28,29,0.0252
WT1,30,26,0.0218
WT1,25,18,0.0136
WT1,29,20,0.019
WT1,28,24,0.0212
WT1,26,17,0.0149
WT1,26,15,0.0126
WT1,26,16,0.0132
WT1,26,16,0.0124
WT2,29,23,0.0338
WT2,28,23,0.021
WT2,33,24,0.0339
WT2,27,20,0.0179
WT2,29,26,0.0333
WT2,28,24,0.0234
WT2,31,30,0.0349
WT2,28,25,0.0256
WT2,31,26,0.0288
WT2,31,32,0.0365
WT2,29,23,0.0251
WT2,30,20,0.0266
WT2,29,26,0.0366
WT2,31,32,0.0336
WT2,29,25,0.0415
WT2,29,28,0.0324
WT2,32,27,0.0305
WT2,30,34,0.0477
WT2,31,36,0.042
WT2,25,15,0.0159
WT21,22,10,0.0025
WT21,21,9,0.0014
WT21,19,9,0.0014
WT21,20,10,0.0019
WT21,21,10,0.0017
WT21,21,10,0.0021
WT21,21,10,0.0028
WT21,19,9,0.0018
WT21,20,9,0.0011
WT21,19,9,0.0022
WT21,21,10,0.0023
WT21,21,10,0.0029
WT21,21,10,0.0028
WT21,21,11,0.0029
WT21,19,8,0.0015
WT21,23,11,0.0034
WT21,22,11,0.0023
WT21,22,10,0.0034
WT21,21,11,0.003
WT21,22,11,0.0029
WT24,19,8,0.0014
WT24,19,9,0.002
WT24,19,9,0.0013
WT24,19,9,0.0019
WT24,19,9,0.0015
WT24,19,9,0.0018
WT24,19,9,0.0017
WT24,19,9,0.0017
WT24,19,8,0.0017
WT24,19,9,0.0015
WT24,19,9,0.0018
WT24,19,9,0.0015
WT24,19,8,0.0021
WT24,19,9,0.0018
WT24,19,8,0.0015
WT24,19,8,0.0008
WT24,19,9,0.0021
WT24,19,9,0.0015
WT24,19,9,0.0021
WT24,19,9,0.0018
WT6,27,23,0.0197
WT6,26,18,0.0148
WT6,25,15,0.0135
WT6,26,18,0.0152
WT6,28,25,0.0208
WT6,26,19,0.0162
WT6,25,15,0.0133
WT6,28,24,0.0192
WT6,25,14,0.0108
WT6,26,19,0.0166
WT6,26,20,0.0165
WT6,27,20,0.018
WT6,27,24,0.0178
WT6,27,22,0.0149
WT6,27,21,0.0168
WT6,28,21,0.0191
WT6,28,23,0.0191
WT6,28,18,0.017
WT6,27,17,0.015
WT6,28,25,0.0225
WT10,24,15,0.0089
WT10,28,16,0.0156
WT10,27,18,0.013
WT10,27,16,0.0097
WT10,25,24,0.0135
WT10,26,14,0.0112
WT10,27,16,0.0133
WT10,25,15,0.0114
WT10,26,15,0.0112
WT10,25,15,0.0095
WT10,26,15,0.0092
WT10,27,15,0.0113
WT10,24,17,0.008
WT10,24,19,0.0099
WT10,26,16,0.0109
WT10,27,18,0.0167
WT10,24,21,0.011
WT10,24,14,0.0093
WT10,26,16,0.0198
WT10,27,20,0.012
WT76,22,11,0.0035
WT76,24,11,0.0033
WT76,23,11,0.0041
WT76,22,11,0.003
WT76,22,10,0.0028
WT76,21,10,0.0028
WT76,20,10,0.0035
WT76,23,11,0.0032
WT76,22,10,0.0019
WT76,22,10,0.0034
WT76,23,11,0.0039
WT76,23,11,0.0035
WT76,23,11,0.0044
WT76,23,11,0.0053
WT76,22,10,0.0023
WT76,21,10,0.003
WT76,22,11,0.0033
WT76,25,12,0.0075
WT76,21,10,0.0024
WT76,NA,NA,NA
WT77,22,11,0.0036
WT77,22,11,0.0039
WT77,21,11,0.0036
WT77,22,11,0.0032
WT77,23,11,0.005
WT77,23,11,0.0041
WT77,24,12,0.0053
WT77,NA,NA,NA
WT77,22,11,0.0043
WT77,23,11,0.0048
WT77,23,11,0.0046
WT77,22,11,0.0035
WT77,24,11,0.0044
WT77,23,11,0.0043
WT77,23,11,0.0041
WT77,22,11,0.0039
WT77,22,11,0.0038
WT77,22,10,0.0032
WT77,24,12,0.0045
WT77,22,11,0.0028
WT48,26,15,0.0131
WT48,27,20,0.0144
WT48,27,18,0.0153
WT48,27,20,0.0184
WT48,25,14,0.0104
WT48,26,15,0.0107
WT48,28,16,0.016
WT48,28,15,0.013
WT48,27,14,0.0102
WT48,26,14,0.0131
WT48,26,14,0.0082
WT48,27,17,0.0124
WT48,27,15,0.0136
WT48,27,14,0.0108
WT48,25,13,0.0067
WT48,28,17,NA
WT48,27,17,0.0132
WT48,25,14,0.0101
WT48,25,14,0.0085
WT48,27,15,0.0121
WT49,29,18,0.0159
WT49,32,20,0.0127
WT49,30,17,0.017
WT49,29,18,0.015
WT49,30,18,0.0138
WT49,29,18,0.014
WT49,31,19,0.017
WT49,32,20,0.0176
WT49,30,20,0.0167
WT49,29,18,0.0187
WT49,31,18,0.0183
WT49,30,18,0.015
WT49,29,19,0.018
WT49,30,22,0.0173
WT49,30,16,0.0138
WT49,29,17,0.0151
WT49,31,24,0.019
WT49,29,17,0.0128
WT49,28,16,0.013
WT49,27,16,0.0104
WT62,33,28,0.0344
WT62,31,26,0.0258
WT62,31,22,0.0287
WT62,29,23,0.0178
WT62,31,26,0.0234
WT62,31,26,0.0298
WT62,32,24,0.0339
WT62,28,24,0.0188
WT62,29,26,0.0297
WT62,30,30,0.0273
WT62,30,24,0.0296
WT62,29,23,0.0215
WT62,32,33,0.0368
WT62,29,21,0.0216
WT62,29,30,0.0319
WT62,31,28,0.0326
WT62,28,30,0.0268
WT62,29,29,0.0288
WT62,28,27,0.0255
WT62,29,32,0.0338
WT63,23,12,0.0044
WT63,24,11,0.0046
WT63,22,10,0.0035
WT63,23,12,0.0038
WT63,22,11,0.0035
WT63,22,11,0.0034
WT63,22,11,0.0041
WT63,22,10,0.0034
WT63,23,11,0.0037
WT63,20,9,0.0026
WT63,23,11,0.0039
WT63,23,12,0.0064
WT63,21,10,0.0046
WT63,22,10,0.0037
WT63,22,11,0.0036
WT63,22,11,0.0035
WT63,20,10,0.0032
WT63,20,9,0.004
WT63,21,11,0.0039
WT63,21,11,0.0036
WT28,29,28,0.0254
WT28,31,24,0.0279
WT28,30,28,0.03
WT28,29,25,0.0259
WT28,30,26,0.0318
WT28,30,25,0.028
WT28,29,29,0.0311
WT28,32,23,0.0247
WT28,30,30,0.0302
WT28,29,26,0.025
WT28,30,30,0.0351
WT28,30,21,0.0184
WT28,30,26,0.026
WT28,30,27,0.0259
WT28,29,30,0.0296
WT28,29,28,0.0293
WT28,28,24,0.0236
WT28,28,26,0.0228
WT28,28,22,0.0146
WT28,29,28,0.0322
WT29,28,18,0.0221
WT29,29,21,0.0247
WT29,28,16,0.0156
WT29,28,16,0.0131
WT29,29,27,0.0277
WT29,29,23,0.0294
WT29,29,18,0.0211
WT29,29,22,0.0253
WT29,28,21,0.0195
WT29,28,23,0.0215
WT29,26,15,0.0183
WT29,26,15,0.0157
WT29,27,22,0.0223
WT29,28,21,0.0233
WT29,28,15,0.016
