"","sd_PC1_LDLDpre","sd_PC1_LDLDpost","sd_PC2_LDLDpre","sd_PC2_LDLDpost","sd_PC1_LDLDpre_vel","sd_PC1_LDLDpost_vel","sd_PC2_LDLDpre_vel","sd_PC2_LDLDpost_vel","sd_PC1_LDLDpre_acc","sd_PC1_LDLDpost_acc","sd_PC2_LDLDpre_acc","sd_PC2_LDLDpost_acc","PC1_movement_acc_sd_LDLD","PC2_movement_acc_sd_LDLD","PC1_movement_ori_sd_LDLD","PC2_movement_ori_sd_LDLD","PC1_movement_vel_sd_LDLD","PC2_movement_vel_sd_LDLD","PC1_movement_ori_sd_absLDLD","PC2_movement_ori_sd_absLDLD","PC1_movement_vel_sd_absLDLD","PC2_movement_vel_sd_absLDLD","PC1_movement_acc_sd_absLDLD","PC2_movement_acc_sd_absLDLD","distances_ori_sdLDLD","distances_vel_sdLDLD","distances_acc_sdLDLD"
"WxT_1.",0.130613393155429,0.178920976644471,0.0265284913231441,0.072511867516838,0.012057347945368,0.0046951937293083,0.0315602651809896,0.020567874267443,0.000117739304441746,0.00245091726265092,-0.0108778425136705,-0.00755842949911785,-0.00233317795820918,-0.00331941301455267,-0.0483075834890427,-0.0459833761936938,0.00736215421605969,0.0109923909135466,0.0483075834890427,0.0459833761936938,0.00736215421605969,0.0109923909135466,0.00233317795820918,0.00331941301455267,0.066694029033502,0.013230040540273,0.00405736640517649
"WxT_10.",0.301989015442783,0.25850351389767,-0.0615291417459981,0.0475927171672879,-0.0196170762610297,0.00334745880635676,0.00772116648381045,0.00885337357383277,0.0063734802239564,0.00127812420495625,-0.00414670205218355,-0.00325959418626163,0.00509535601900014,-0.000887107865921926,0.0434855015451125,-0.109121858913286,-0.0229645350673865,-0.00113220709002233,0.0434855015451125,0.109121858913286,0.0229645350673865,0.00113220709002233,0.00509535601900014,0.000887107865921926,0.117467310079533,0.0229924284005827,0.00517200283508638
"WxT_11.",0.221927918266225,0.22315789336948,0.038737500229939,0.071086717601695,0.00854911979884429,0.00551827296837542,0.0134766915432785,0.000156526182621352,-0.00830364808019706,-0.000541547639013776,-0.00336996199711153,0.00112248990206722,-0.00776210044118329,-0.00449245189917876,-0.00122997510325495,-0.0323492173717561,0.00303084683046886,0.0133201653606571,0.00122997510325495,0.0323492173717561,0.00303084683046886,0.0133201653606571,0.00776210044118329,0.00449245189917876,0.0323725918535997,0.0136606309424204,0.00896840717883909
"WxT_12.",0.252350048978885,0.255538506810903,0.0391751916187786,0.0484925643924173,0.00335615759513704,-0.00517381500783223,0.0170859083587619,0.00822903692479171,-0.0018762518691132,0.008123734761215,-0.00841292120503457,0.00240778738000602,-0.0099999866303282,-0.0108207085850406,-0.00318845783201843,-0.00931737277363866,0.00852997260296926,0.00885687143397022,0.00318845783201843,0.00931737277363866,0.00852997260296926,0.00885687143397022,0.0099999866303282,0.0108207085850406,0.0098478271080225,0.0122965281362376,0.0147338883832176
"WxT_13.",0.299433471591058,0.265885899982489,0.00597216385174075,0.042129416675584,-0.00463517423559208,0.00725567892880347,0.0363958063519903,-0.0101751346685076,0.00551055699121023,-0.000755660046607218,-0.0158987568603628,0.00514851741343503,0.00626621703781745,-0.0210472742737978,0.0335475716085693,-0.0361572528238433,-0.0118908531643955,0.046570941020498,0.0335475716085693,0.0361572528238433,0.0118908531643955,0.046570941020498,0.00626621703781745,0.0210472742737978,0.0493232855008606,0.0480650074015589,0.0219602648053594
"WxT_14.",0.284782751025072,0.219967424413599,0.0423429880980729,0.0436527369205422,0.00333179619738279,-0.000714998854062185,0.0329816420378863,0.0104361374138399,-0.000223698757335327,0.00598309594016856,-0.0105893326796994,-0.00373991543270642,-0.00620679469750389,-0.00684941724699303,0.0648153266114726,-0.00130974882246923,0.00404679505144497,0.0225455046240463,0.0648153266114726,0.00130974882246923,0.00404679505144497,0.0225455046240463,0.00620679469750389,0.00684941724699303,0.0648285585658808,0.0229058143042611,0.00924331201682427
"WxT_15.",0.206229973203204,0.188687250403377,0.0588433822001834,0.042244878649355,-0.00507500718470921,0.0149278193172317,0.0182131255329563,0.0158341981797521,0.00251311293414155,-0.00146320752570379,-0.00803069586226975,-0.00628412244801811,0.00397632045984534,-0.00174657341425164,0.0175427227998269,0.0165985035508284,-0.020002826501941,0.00237892735320422,0.0175427227998269,0.0165985035508284,0.020002826501941,0.00237892735320422,0.00397632045984534,0.00174657341425164,0.0241507234541417,0.0201437921806837,0.00434299931968165
"WxT_16.",0.270174913908495,0.278534420263985,0.00212039281250639,0.0490010067652953,-0.0151361458864721,-0.00541128756482969,0.00716150592092961,-0.000268161216460142,0.00725437284609681,0.00669466527146136,-0.00717287507251464,0.00208531924869477,0.000559707574635456,-0.00925819432120941,-0.00835950635549032,-0.0468806139527889,-0.0097248583216424,0.00742966713738976,0.00835950635549032,0.0468806139527889,0.0097248583216424,0.00742966713738976,0.000559707574635456,0.00925819432120941,0.0476200935645648,0.0122381707435559,0.00927509755519469
"WxT_17.",0.291889728670184,0.263435294573489,0.0349313766543926,0.0390053349010809,-0.00836048725031468,0.00203539560563745,0.018496911065338,0.0131503408096615,0.00174757283296991,0.000480060276847037,-0.00616977111336299,0.00101913819753804,0.00126751255612287,-0.00718890931090102,0.0284544340966945,-0.00407395824668834,-0.0103958828559521,0.00534657025567654,0.0284544340966945,0.00407395824668834,0.0103958828559521,0.00534657025567654,0.00126751255612287,0.00718890931090102,0.0287445987197402,0.0116901750993544,0.00729979487111032
"WxT_18.",0.149855052125162,0.1179038283428,0.0256963285909479,0.00120597372955919,0.00451565823969717,-0.00705130889266351,-0.00359697509160764,0.00986241493333425,-0.00164427485910622,0.00550531100506213,0.00433775523908277,-0.00291476210722343,-0.00714958586416835,0.0072525173463062,0.0319512237823619,0.0244903548613888,0.0115669671323607,-0.0134593900249419,0.0319512237823619,0.0244903548613888,0.0115669671323607,0.0134593900249419,0.00714958586416835,0.0072525173463062,0.0402573991016225,0.0177468281246148,0.0101840849312831
"WxT_19.",0.286877790978445,0.181850791639897,0.0149251245669985,-0.00215379561690804,-0.00210734002939279,-0.00440084047068151,0.0103484161051017,0.00150217370092483,0.0028515913524308,0.000192360339488569,-0.00415805813036371,0.000577669138607572,0.00265923101294223,-0.00473572726897128,0.105026999338548,0.0170789201839065,0.00229350044128873,0.00884624240417686,0.105026999338548,0.0170789201839065,0.00229350044128873,0.00884624240417686,0.00265923101294223,0.00473572726897128,0.106406579236002,0.00913871702962994,0.00543126342081397
"WxT_21.",0.195045106533486,0.230214957647866,0.039215164972108,0.0298202717560714,0.00391144983174316,-0.0043620760557397,0.0194313034100384,0.00138076876918564,0.00100009696986867,0.000727867018290807,-0.00866817441722309,-0.000924652311621402,0.000272229951577864,-0.00774352210560169,-0.0351698511143802,0.00939489321603668,0.00827352588748286,0.0180505346408528,0.0351698511143802,0.00939489321603668,0.00827352588748286,0.0180505346408528,0.000272229951577864,0.00774352210560169,0.0364030554479759,0.0198563096126011,0.00774830586299212
"WxT_22.",0.209742621429292,0.236594355702158,0.0375927101969253,0.0718132571258496,0.00114704607509616,0.00770211526141649,0.0202109494415008,0.0114434383601227,0.00507213074011211,-6.34254550055762e-05,-0.00573492556144167,-0.00490591450687358,0.00513555619511769,-0.000829011054568088,-0.0268517342728659,-0.0342205469289243,-0.00655506918632033,0.0087675110813781,0.0268517342728659,0.0342205469289243,0.00655506918632033,0.0087675110813781,0.00513555619511769,0.000829011054568088,0.0434978328836657,0.0109470627384488,0.00520203775090183
"WxT_23.",0.252774588844522,0.249502100190233,0.00916476738717858,0.0589953925452706,0.00114284078127472,0.00198562585982656,0.0147556003078552,0.0123966884508126,-0.000385574037249084,-0.000642411775497396,-0.00448776357818319,-0.00693643476638698,0.000256837738248312,0.00244867118820379,0.00327248865428881,-0.049830625158092,-0.00084278507855184,0.00235891185704258,0.00327248865428881,0.049830625158092,0.00084278507855184,0.00235891185704258,0.000256837738248312,0.00244867118820379,0.0499379653734383,0.00250494547603849,0.00246210402130533
"WxT_24.",0.251786663830038,0.254373016582831,0.00569692689415614,0.0240514526360969,-0.00962901445973757,-0.00380791471960222,0.012108073182215,0.0130572802728752,0.00392648778372245,0.0084361532659275,0.000309793685214301,-0.00265533430846443,-0.00450966548220506,0.00296512799367873,-0.00258635275279273,-0.0183545257419408,-0.00582109974013535,-0.000949207090660162,0.00258635275279273,0.0183545257419408,0.00582109974013535,0.000949207090660162,0.00450966548220506,0.00296512799367873,0.0185358527123369,0.00589798239108624,0.00539713505299701
"WxT_25.",0.306135908955785,0.295275408040642,0.000904723910398392,0.0313019038831833,-0.0114767392734202,-0.00589494319304015,0.0133058949137683,-0.0107816546398831,0.00216810763782634,-0.00287648234362196,-0.00593786201108614,0.00456923535447463,0.00504458998144829,-0.0105070973655608,0.0108605009151427,-0.0303971799727849,-0.00558179608038006,0.0240875495536514,0.0108605009151427,0.0303971799727849,0.00558179608038006,0.0240875495536514,0.00504458998144829,0.0105070973655608,0.0322790803838289,0.0247258263963524,0.0116553413991312
"WxT_26.",0.212128835237296,0.213648877906788,0.00987933744400789,0.0116127239422926,-0.00100315150129969,-0.000977142725670569,0.0263621400872617,0.0108295237291859,0.00341643435133534,0.00169940002315854,-0.00700407882836682,-0.00191579405378616,0.0017170343281768,-0.00508828477458066,-0.00152004266949182,-0.00173338649828473,-2.6008775629119e-05,0.0155326163580758,0.00152004266949182,0.00173338649828473,2.6008775629119e-05,0.0155326163580758,0.0017170343281768,0.00508828477458066,0.00230546274520141,0.0155326381334136,0.00537018145236889
"WxT_27.",0.237966096257555,0.238295728565534,0.0359417661036282,0.0257696083561382,0.000192857599781685,-0.0059713439970762,0.00824116979544786,0.00591112071329077,0.00181067465421136,0.0059544314741258,-0.0041322271299644,-2.65890349969806e-06,-0.00414375681991444,-0.0041295682264647,-0.000329632307979083,0.01017215774749,0.00616420159685789,0.00233004908215709,0.000329632307979083,0.01017215774749,0.00616420159685789,0.00233004908215709,0.00414375681991444,0.0041295682264647,0.0101774972708562,0.00658987936550939,0.00585013284632189
"WxT_28.",0.190701659169979,0.204517308617554,0.00829943426395112,0.0124175504535438,-0.00612134654363526,-0.00729005633710236,-0.000832695096008555,0.00366198152192148,0.000235318297047363,0.00311524143509867,0.00136828149699635,0.00115065896886424,-0.00287992313805131,0.000217622528132117,-0.0138156494475749,-0.0041181161895927,0.0011687097934671,-0.00449467661793003,0.0138156494475749,0.0041181161895927,0.0011687097934671,0.00449467661793003,0.00287992313805131,0.000217622528132117,0.0144163466457095,0.00464413613938188,0.00288813379984964
"WxT_29.",0.222200561880587,0.222361757011246,-0.012747873876772,0.0462456928474605,-0.0118957457244199,-0.00213049329746438,0.0155545955709279,0.0173295278274686,0.00583189159575054,0.00523332803312703,-0.00653039898620092,-0.00486657494454628,0.000598563562623507,-0.00166382404165464,-0.000161195130659098,-0.0589935667242325,-0.0097652524269555,-0.00177493225654065,0.000161195130659098,0.0589935667242325,0.0097652524269555,0.00177493225654065,0.000598563562623507,0.00166382404165464,0.058993786950124,0.00992524757764101,0.00176821627073402
"WxT_3.",0.195198566996456,0.211762747639725,0.041526612739461,0.0277979467164767,-0.00204024219241252,0.00364717787087076,0.0111968476144169,0.0282231441904724,-0.00322014827136182,0.00270842411088307,-0.00914518970893814,-0.0175470146153664,-0.00592857238224488,0.0084018249064283,-0.0165641806432696,0.0137286660229843,-0.00568742006328328,-0.0170262965760555,0.0165641806432696,0.0137286660229843,0.00568742006328328,0.0170262965760555,0.00592857238224488,0.0084018249064283,0.0215139106429657,0.0179510869328862,0.010282929166818
"WxT_30.",0.236869073746131,0.169740939441918,0.0348973502415282,0.00701970507774686,-0.00188712422414629,-0.00313931794785806,0.0110290747033494,0.00293298333305431,-0.00410719892065734,0.000630352926096643,-0.00378494656493296,-0.000803327565897252,-0.00473755184675399,-0.00298161899903571,0.0671281343042126,0.0278776451637814,0.00125219372371176,0.00809609137029514,0.0671281343042126,0.0278776451637814,0.00125219372371176,0.00809609137029514,0.00473755184675399,0.00298161899903571,0.0726866529360247,0.00819235525339756,0.00559771822764355
"WxT_31.",0.256203847484531,0.246621754776936,0.0497534541787455,0.0336292721857542,0.00565644793227532,-0.00509839507732752,0.0273679456662157,0.0159260683525473,0.00125078839242934,0.0110227525774949,-0.0121204988749898,-0.00557133841252467,-0.00977196418506559,-0.00654916046246513,0.00958209270759497,0.0161241819929913,0.0107548430096028,0.0114418773136684,0.00958209270759497,0.0161241819929913,0.0107548430096028,0.0114418773136684,0.00977196418506559,0.00654916046246513,0.018756485427714,0.0157029680195255,0.0117636213300718
"WxT_34.",0.243231943299232,0.189015917863386,0.048110246129247,0.0567257413685859,0.00600022234758457,-0.00618306033127887,0.0374483494390159,0.00563844375586124,-0.000565570147271234,-0.00341360740331453,-0.0099399413433992,-0.00599034759898873,0.0028480372560433,-0.00394959374441047,0.0542160254358458,-0.00861549523933888,0.0121832826788634,0.0318099056831547,0.0542160254358458,0.00861549523933888,0.0121832826788634,0.0318099056831547,0.0028480372560433,0.00394959374441047,0.054896303812546,0.034063212948932,0.00486935385422922
"WxT_35.",0.34139792896266,0.265046544541358,0.0272350612510033,0.0560227784859832,0.00408025104240819,0.000180500735773555,0.028456591277373,0.0133782326340695,0.000341858802602844,0.00735536632360478,-0.0140595414813824,-0.00253344147506148,-0.00701350752100194,-0.0115261000063209,0.0763513844213025,-0.02878771723498,0.00389975030663464,0.0150783586433034,0.0763513844213025,0.02878771723498,0.00389975030663464,0.0150783586433034,0.00701350752100194,0.0115261000063209,0.0815982019817267,0.0155744968403535,0.0134922299529344
"WxT_36.",0.276062088500521,0.225768674118523,0.0381191592719408,0.0609377139809278,0.00363296645525102,0.00512964681641565,0.0268682664368894,0.0123103811445661,-0.00151288211069573,-0.000871945748354009,-0.0130593274297883,-0.00397258860260889,-0.000640936362341726,-0.00908673882717943,0.0502934143819981,-0.022818554708987,-0.00149668036116464,0.0145578852923233,0.0502934143819981,0.022818554708987,0.00149668036116464,0.0145578852923233,0.000640936362341726,0.00908673882717943,0.0552278369050101,0.0146346191029332,0.00910931511881887
"WxT_38.",0.221819961561767,0.234840813671832,-0.0240577735279319,-0.0145580397889569,-0.0156696250773292,-0.0113119204357677,-0.00551896492229033,0.0177566939923896,0.00266300268904185,0.0145885292306532,0.00477117947643403,-0.00254449241517434,-0.0119255265416114,0.00731567189160837,-0.0130208521100655,-0.00949973373897496,-0.00435770464156156,-0.0232756589146799,0.0130208521100655,0.00949973373897496,0.00435770464156156,0.0232756589146799,0.0119255265416114,0.00731567189160837,0.0161179257593406,0.0236800736412623,0.0139906125141234
"WxT_39.",0.195383209334228,0.208273705120698,-0.013252689133383,0.014372916887747,-0.014442143034339,-0.00812224609440874,-0.00344451228004789,0.00698126153523193,0.000253350480181403,0.00272792968500288,0.00236677395738021,0.000159012095371881,-0.00247457920482148,0.00220776186200833,-0.0128904957864694,-0.02762560602113,-0.00631989693993026,-0.0104257738152798,0.0128904957864694,0.02762560602113,0.00631989693993026,0.0104257738152798,0.00247457920482148,0.00220776186200833,0.0304850617459712,0.0121917126351762,0.00331628627839537
"WxT_4.",0.166964350233883,0.249552272329044,3.82359124647271e-05,0.0323321119557311,-0.00956662283483211,-0.0141038237332463,-0.00754053467296776,0.00534130336007544,-0.000574942362307168,0.00910735667900152,0.00407910981051723,0.00207354250484415,-0.00968229904130868,0.00200556730567307,-0.0825879220951612,-0.0322938760432664,0.00453720089841422,-0.0128818380330432,0.0825879220951612,0.0322938760432664,0.00453720089841422,0.0128818380330432,0.00968229904130868,0.00200556730567307,0.0886772761528807,0.0136575233150864,0.00988783166032431
"WxT_40.",0.29134551122558,0.257625571744482,0.0404708241771866,0.0355980879291721,-0.00212194765912652,-0.00212309519631277,0.0203173874850836,0.0182852644420485,0.00308828575706141,0.00339871730790221,-0.00582560612518314,-0.00937865441145139,-0.000310431550840802,0.00355304828626825,0.0337199394810979,0.00487273624801447,1.14753718624769e-06,0.00203212304303511,0.0337199394810979,0.00487273624801447,1.14753718624769e-06,0.00203212304303511,0.000310431550840802,0.00355304828626825,0.0340701904478331,0.00203212336704145,0.00356658378175968
